x=[0.770087], y=[0.729072], z=[0.000000]
x=[0.771023], y=[0.728054], z=[0.000000]
x=[0.771956], y=[0.727035], z=[0.000000]
x=[0.772888], y=[0.726013], z=[0.000000]
x=[0.773818], y=[0.724990], z=[0.000000]
x=[0.774746], y=[0.723965], z=[0.000000]
x=[0.775672], y=[0.722938], z=[0.000000]
x=[0.776596], y=[0.721909], z=[0.000000]
x=[0.777518], y=[0.720878], z=[0.000000]
x=[0.778439], y=[0.719845], z=[0.000000]
x=[0.779357], y=[0.718810], z=[0.000000]
x=[0.780273], y=[0.717773], z=[0.000000]
x=[0.781188], y=[0.716735], z=[0.000000]
x=[0.782101], y=[0.715694], z=[0.000000]
x=[0.783011], y=[0.714652], z=[0.000000]
x=[0.783920], y=[0.713608], z=[0.000000]
x=[0.784827], y=[0.712562], z=[0.000000]
x=[0.785732], y=[0.711514], z=[0.000000]
x=[0.786635], y=[0.710464], z=[0.000000]
x=[0.787537], y=[0.709412], z=[0.000000]
x=[0.788436], y=[0.708358], z=[0.000000]
x=[0.789333], y=[0.707302], z=[0.000000]
x=[0.790229], y=[0.706244], z=[0.000000]
x=[0.791122], y=[0.705185], z=[0.000000]
x=[0.792014], y=[0.704123], z=[0.000000]
x=[0.792904], y=[0.703060], z=[0.000000]
x=[0.793792], y=[0.701995], z=[0.000000]
